"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PTGFRN",1.44031607169602,8.09313950494662,8.81016069921913,9.68127084669165e-09,2.8306652917034e-05,10.0650040018465
"COL11A1",4.31714356128925,5.90064633300025,7.85617453032167,6.923748969921e-08,8.85677313546082e-05,8.24731496662706
"EFNA4",1.53925083687249,7.25814498408746,7.45137399912477,1.65503696844506e-07,0.000153971098332568,7.43399845943769
"FAT1",1.36431093453818,8.83793364891591,7.27762779454449,2.42192300752287e-07,0.000198277992779882,7.07729605939125
"ENC1",1.47672695473651,7.72398616981979,6.75693786915021,7.76250723130191e-07,0.000365506035479231,5.98154551247251
"THBS2",2.83174457249249,8.71578844365495,6.66245803487319,9.62523708568413e-07,0.000393999454865394,5.77852955563468
"COL1A2",1.95856381999049,10.6284633176195,6.46637887331598,1.50943173619958e-06,0.000475976952095916,5.3532449398229
"P3H4",1.34265609353022,6.99793204421287,6.18452276118693,2.90561198842848e-06,0.000643141485893333,4.73290762465945
"XPR1",1.13496565603611,7.06837026215548,6.15645749249765,3.10298616726338e-06,0.00066851387247768,4.67057985992658
"GGCT",1.13094797504739,10.3534920956046,6.09411454302152,3.59187777838644e-06,0.000727870915744903,4.53177789973935
"CRABP2",2.67075824280099,8.47188510134904,6.06776651035027,3.82149571812127e-06,0.000744900503455125,4.4729726776861
"CTHRC1",3.00887398001306,9.45486845838845,5.93776222714657,5.19405541455798e-06,0.000883240775792621,4.18160473809253
"LINC00511",1.18098811453593,5.76055181182473,5.92342518575873,5.37344567912066e-06,0.000890329741703042,4.14935101846934
"NICOL1",1.20930840188833,7.95702790455355,5.90624055430823,5.59680994224303e-06,0.000890329741703042,4.11066004304368
"KIF26B",1.01840729689726,5.82910749339281,5.89048923370002,5.80985015070785e-06,0.000890329741703042,4.07516655604906
"COL10A1",3.7064333805255,7.16172934164424,5.87663711048362,6.00402454706074e-06,0.00089808662249759,4.04392941430983
